214.242, 132.914, 5.001,  5.996 False
214.408, 132.913, 4.985,  6.029 False
214.574, 132.913, 4.996,  6.062 False
214.741, 132.912, 5.005,  6.095 False
214.908, 132.912, 5.013,  6.128 False
215.076, 132.912, 5.020,  6.161 False
215.243, 132.911, 5.025,  6.194 False
215.411, 132.911, 5.029,  6.227 False
215.578, 132.911, 5.026,  6.260 False
215.745, 132.910, 5.004,  6.293 False
215.911, 132.910, 4.988,  6.326 False
216.078, 132.909, 4.998,  6.359 False
216.245, 132.909, 5.006,  6.392 False
216.412, 132.909, 5.014,  6.425 False
216.579, 132.909, 5.020,  6.458 False
216.747, 132.909, 5.025,  6.491 False
216.914, 132.908, 5.028,  6.524 False
217.082, 132.908, 5.030,  6.557 False
217.249, 132.908, 5.022,  6.590 False
217.416, 132.908, 4.995,  6.623 False
217.582, 132.908, 4.997,  6.656 False
217.749, 132.908, 5.005,  6.689 False
217.916, 132.908, 5.012,  6.722 False
218.084, 132.908, 5.017,  6.755 False
218.251, 132.908, 5.021,  6.788 False
218.418, 132.908, 5.025,  6.821 False
218.586, 132.908, 5.025,  6.854 False
218.753, 132.908, 5.015,  6.887 False
218.919, 132.908, 4.986,  6.920 False
219.086, 132.908, 4.989,  6.953 False
219.252, 132.909, 4.999,  6.986 False
219.419, 132.909, 5.007,  7.019 False
219.586, 132.909, 5.013,  7.052 False
219.754, 132.909, 5.019,  7.085 False
219.921, 132.909, 5.023,  7.118 False
220.089, 132.909, 5.027,  7.151 False
220.256, 132.909, 5.029,  7.184 False
220.424, 132.909, 5.027,  7.217 False
220.591, 132.910, 5.014,  7.250 False
220.757, 132.910, 4.994,  7.283 False
220.924, 132.910, 5.001,  7.316 False
221.091, 132.910, 5.008,  7.349 False
221.258, 132.910, 5.013,  7.382 False
221.425, 132.910, 5.017,  7.415 False
221.592, 132.911, 5.020,  7.448 False
221.760, 132.911, 5.022,  7.481 False
221.927, 132.911, 5.015,  7.514 False
222.093, 132.911, 4.989,  7.547 False
222.260, 132.911, 4.992,  7.580 False
222.426, 132.911, 5.000,  7.613 False
222.593, 132.912, 5.007,  7.646 False
222.760, 132.912, 5.013,  7.679 False
222.928, 132.912, 5.018,  7.712 False
223.095, 132.912, 5.022,  7.745 False
223.262, 132.913, 5.024,  7.778 False
223.430, 132.913, 5.024,  7.811 False
223.597, 132.913, 5.016,  7.844 False
223.764, 132.914, 4.994,  7.877 False
223.930, 132.914, 4.999,  7.910 False
224.097, 132.914, 5.006,  7.943 False
224.264, 132.914, 5.011,  7.976 False
224.432, 132.915, 5.016,  8.009 False
224.599, 132.915, 5.020,  8.042 False
224.766, 132.915, 5.022,  8.075 False
224.934, 132.916, 5.025,  8.108 False
225.101, 132.916, 5.024,  8.141 False
225.268, 132.916, 5.013,  8.174 False
225.435, 132.917, 4.995,  8.207 False
225.601, 132.917, 5.001,  8.240 False
225.768, 132.917, 5.007,  8.273 False
225.935, 132.918, 5.011,  8.306 False
226.102, 132.918, 5.015,  8.339 False
226.270, 132.918, 5.018,  8.372 False
